EPOCH                   RADIAL_DISTANCE             B  PROTON_SPEED   PROTON_DENS   PROTON_TEMP
dd-mm-yyyy hh:mm:ss.ms               AU            nT          km/s         N/cm3         deg_K
07-09-2022 18:00:00.000        0.680000       12.0700       607.400       8.10000       80551.0
07-09-2022 19:00:00.000        0.680000       12.2400       592.200       9.20000       76321.0
07-09-2022 20:00:00.000        0.680000       12.5500       587.000       11.5000       69362.0
07-09-2022 21:00:00.000        0.680000       12.8600       595.100       10.5000       85916.0
07-09-2022 22:00:00.000        0.680000       12.9800       567.700       12.6000       82871.0
07-09-2022 23:00:00.000        0.680000       12.7500       554.800       10.5000       78926.0
08-09-2022 00:00:00.000        0.680000       12.4900       554.800       8.90000       69359.0
08-09-2022 01:00:00.000        0.680000       13.5600       560.500       9.20000       66815.0
08-09-2022 02:00:00.000        0.680000       13.5500       558.600       8.70000       87464.0
08-09-2022 03:00:00.000        0.680000       13.9200       527.400       9.20000       73186.0
08-09-2022 04:00:00.000        0.680000       15.4500       536.500       13.4000       98399.0
08-09-2022 05:00:00.000        0.680000       12.2000       557.300       11.7000       140710.
08-09-2022 06:00:00.000        0.680000       11.2700       571.100       14.5000       153286.
08-09-2022 07:00:00.000        0.680000       7.97000       621.900       13.7000       184651.
08-09-2022 08:00:00.000        0.680000       7.88000       617.500       10.3000       228985.
08-09-2022 09:00:00.000        0.680000       8.62000       589.300       6.90000       236098.
08-09-2022 10:00:00.000        0.680000       9.01000       577.500       7.20000       196980.
08-09-2022 11:00:00.000        0.680000       8.98000       573.200       7.10000       172390.
08-09-2022 12:00:00.000        0.680000       8.34000       578.800       7.60000       176486.
